,win,one1,one2,one3,one4,one5,two1,two2,two3,two4,two5
11868,0,Yorick,Karthus,Fizz,MissFortune,Zyra,Gnar,Khazix,Veigar,Varus,Pyke
11869,1,Garen,Diana,Zed,Kaisa,Nami,Illaoi,Mordekaiser,Katarina,Vayne,Morgana
11870,1,Illaoi,Ekko,Vex,Kaisa,Pantheon,Gangplank,Taliyah,Teemo,Sivir,Nami
11871,1,Gragas,Olaf,Yasuo,Vayne,Yuumi,Fizz,JarvanIV,Volibear,Jhin,Pantheon
11872,1,Gwen,Rengar,Kassadin,Jhin,Yuumi,Pantheon,Nunu,Akshan,Vayne,Leona
11873,1,Kayle,Vi,Xerath,Kaisa,Yuumi,Garen,Kayn,Viktor,MissFortune,Pantheon
11874,0,Garen,LeeSin,Yone,Tristana,Senna,Camille,Mordekaiser,Veigar,Vayne,Zilean
11875,1,Mordekaiser,Viego,Veigar,Samira,Nautilus,Gwen,MasterYi,Tristana,TahmKench,Senna
11876,1,Gangplank,JarvanIV,Anivia,Ezreal,Pantheon,Mordekaiser,Nocturne,Yone,Kaisa,Senna
11877,0,Kayle,Khazix,Yone,Caitlyn,Anivia,Gnar,Warwick,Malzahar,Kaisa,Thresh
11878,0,Yorick,LeeSin,Xerath,Zeri,Senna,Darius,FiddleSticks,Yone,Lucian,Soraka
11879,1,Shen,Taliyah,Pantheon,Ezreal,Pyke,Olaf,Ekko,Zed,Jhin,Thresh
11880,0,Ornn,MonkeyKing,Soraka,Caitlyn,Swain,Renekton,MasterYi,Heimerdinger,Lucian,Leona
11881,1,Warwick,Lillia,Akali,MissFortune,Zilean,Teemo,Kindred,Irelia,Ezreal,Brand
11882,1,Kayle,JarvanIV,Sylas,Jhin,Senna,Jax,Rengar,Corki,Xayah,Swain
11883,0,Sett,Viego,Fizz,Caitlyn,Xerath,Kled,Mordekaiser,Heimerdinger,Jinx,Pyke
11884,1,Ornn,Nocturne,Yasuo,Jhin,Senna,MasterYi,Kayn,Tristana,Swain,Brand
11885,1,Fiora,Taliyah,Pantheon,Jhin,Leona,Olaf,Viego,AurelionSol,Tristana,Shen
11886,0,Urgot,Nocturne,Lux,MissFortune,Morgana,TahmKench,Ivern,Ekko,Ezreal,Senna
11887,0,Garen,MasterYi,Diana,Kaisa,Brand,Trundle,Shyvana,Riven,Ezreal,Lux
11888,1,Irelia,Thresh,Draven,Shaco,DrMundo,Graves,Jinx,Leblanc,Nautilus,Olaf
11889,0,Quinn,Twitch,Syndra,Caitlyn,Lux,Garen,Zed,Viktor,Aphelios,Nami
11890,1,Garen,JarvanIV,Neeko,Lucian,Senna,Gangplank,Zac,Brand,Jhin,Soraka
11891,1,Ornn,Nocturne,Xerath,MissFortune,Renata,Chogath,Viego,Yasuo,Kaisa,Swain
11892,1,Sett,Sejuani,Zed,Vayne,Swain,Ornn,Shyvana,Gangplank,Ashe,Renata
11893,0,Shen,Gwen,Xerath,Draven,Pantheon,Urgot,Warwick,Yone,MissFortune,Seraphine
11894,0,Illaoi,Jax,Azir,Vayne,Nautilus,Nasus,XinZhao,Veigar,Kaisa,Pyke
11895,0,Tryndamere,Vi,Lux,Jhin,Thresh,Jax,Shyvana,Yasuo,Lucian,Ziggs
11896,1,Olaf,Rammus,Morgana,Aphelios,Sona,Kayle,Ekko,Lucian,Jinx,Lulu
11897,1,Fiora,MonkeyKing,Viktor,Kaisa,Renata,Gwen,Volibear,Azir,Ezreal,Zilean
11898,0,Darius,Olaf,Malzahar,Jhin,Zilean,Gangplank,Graves,Yone,KogMaw,Xerath
11899,1,Nasus,Kayn,Vladimir,Heimerdinger,Yuumi,Olaf,Viego,Veigar,Aphelios,Zyra
11900,1,Singed,Rengar,Yasuo,Samira,Lulu,Akali,Graves,Lux,Ashe,Leona
11901,0,Garen,RekSai,Zed,Twitch,Brand,Chogath,MonkeyKing,Vex,KogMaw,Zilean
11902,1,Ornn,Khazix,Pantheon,Caitlyn,Morgana,MonkeyKing,Hecarim,Veigar,Senna,Sona
11903,1,Jax,Warwick,Vex,Twitch,Soraka,Nasus,Shyvana,Zed,Caitlyn,Seraphine
11904,1,DrMundo,Lucian,Nidalee,MissFortune,Lux,XinZhao,Graves,Chogath,Trundle,Leona
11905,0,Urgot,Trundle,Sylas,Ashe,Senna,Illaoi,Ekko,Riven,Aphelios,Sona
11906,1,Cassiopeia,Kayn,Kayle,Ashe,Zyra,Jax,Leona,Leblanc,Kalista,MonkeyKing
11907,1,AurelionSol,Rammus,Garen,Zeri,Zyra,Riven,Ekko,Renekton,Vayne,Galio
11908,1,DrMundo,MonkeyKing,Velkoz,Jhin,Syndra,Mordekaiser,Viego,Zilean,Annie,Malphite
11909,1,Nocturne,MissFortune,Lulu,Rumble,Qiyana,Chogath,Nami,Ahri,Jinx,Vi
11910,0,Riven,Viego,Akali,Jhin,Leona,Aatrox,Udyr,Swain,Tristana,Nami
11911,0,Gangplank,Graves,Karthus,Jhin,Janna,Yone,JarvanIV,Yasuo,Tristana,Yuumi
11912,0,Riven,Vi,Akali,Lucian,Bard,Vayne,Nunu,Veigar,Ezreal,Sona
11913,1,Malphite,Graves,Vex,Jhin,Pyke,Lulu,MasterYi,Taliyah,Ashe,Zyra
11914,0,Sion,Nunu,Kassadin,Ashe,Rakan,Illaoi,Karthus,Kayle,Vayne,Morgana
11915,0,Garen,Volibear,Anivia,Ezreal,Pyke,Olaf,Warwick,Ashe,Vayne,Yuumi
11916,0,Camille,LeeSin,Katarina,Jhin,Xerath,Yorick,Trundle,Brand,Vayne,Yuumi
11917,0,Fiora,Kayn,Viktor,MissFortune,Karma,Riven,Diana,Talon,Jinx,Zyra
11918,1,Mordekaiser,Viego,Irelia,Jhin,Yuumi,Sett,MasterYi,Viktor,Akshan,Shaco
11919,1,Urgot,Lillia,Swain,Xayah,Blitzcrank,Fiora,Viego,Anivia,Zeri,Rakan
11920,1,Yorick,Shyvana,Kayle,Jhin,Soraka,Malphite,Shaco,Malzahar,Tristana,Swain
11921,0,Irelia,Shyvana,Yone,Kaisa,Yuumi,Aatrox,Volibear,Viktor,Ezreal,Pyke
11922,1,Sion,Shyvana,Veigar,Vayne,Nautilus,Illaoi,Nocturne,Corki,Swain,Soraka
11923,0,Gangplank,Sejuani,Galio,Samira,Senna,Olaf,Trundle,Swain,Varus,Renata
11924,0,Riven,Elise,Yasuo,Jinx,Morgana,Shyvana,Ivern,Viktor,Varus,Senna
11925,1,Renekton,Shyvana,Akali,Kalista,Pantheon,Vayne,Zac,Katarina,Jhin,Seraphine
11926,0,Riven,Hecarim,Taliyah,Vayne,Brand,Garen,Shaco,Veigar,Samira,Swain
11927,0,Yorick,MasterYi,Taliyah,MissFortune,Xerath,Yone,Nocturne,Kassadin,Samira,Velkoz
11928,0,Quinn,Kayn,Ryze,Tristana,Rakan,Yorick,Poppy,Akali,Draven,Zyra
11929,1,Sion,Hecarim,Vladimir,Caitlyn,Senna,Irelia,Kayn,Akshan,Veigar,Yuumi
11930,1,Mordekaiser,Khazix,Fizz,Kaisa,Nautilus,Garen,Ekko,Vex,Draven,Blitzcrank
11931,0,Nidalee,Graves,Xerath,Vayne,Yuumi,Sion,Talon,Lissandra,Draven,Nami
11932,1,Mordekaiser,MasterYi,Sylas,Kaisa,Senna,Nasus,Vi,Zyra,Tristana,Sona
11933,0,Heimerdinger,Warwick,Kaisa,Ashe,Pyke,MonkeyKing,Evelynn,Qiyana,Jhin,Morgana
11934,1,Vladimir,Jax,Morgana,Xayah,Rell,Akali,Warwick,Lissandra,Lucian,Velkoz
11935,0,Volibear,Sylas,Xerath,Ezreal,Pyke,Darius,Graves,Kassadin,Samira,Lux
11936,1,Olaf,RekSai,Kayle,Jinx,Lux,Singed,FiddleSticks,Irelia,Varus,Sona
11937,0,DrMundo,Kindred,Taliyah,Varus,Morgana,Aatrox,Talon,Swain,Ezreal,Xerath
11938,1,Urgot,Graves,Yasuo,Jinx,Rakan,Camille,Kayn,Bard,Vayne,Rell
11939,1,Kalista,Shaco,Karthus,Ashe,Leona,Sett,Rengar,Ahri,Jhin,Senna
11940,0,MonkeyKing,Trundle,Veigar,Jinx,Nautilus,Gangplank,Lillia,Ahri,Twitch,Karma
11941,1,Ornn,Lillia,Yasuo,Sivir,Velkoz,Mordekaiser,LeeSin,Tristana,Jhin,Zilean
11942,0,Swain,Khazix,Malzahar,Vayne,Lux,Darius,Lillia,Akshan,Jhin,Kayle
11943,1,Teemo,Shaco,Chogath,Samira,Lux,Garen,Trundle,Cassiopeia,Jhin,Ashe
11944,1,Sivir,Graves,Fizz,Tristana,Xerath,Fiora,XinZhao,Akali,Kaisa,Thresh
11945,0,Fiora,Ekko,Xerath,Jinx,Senna,Nasus,Poppy,Neeko,Vayne,Zyra
11946,1,Khazix,LeeSin,Katarina,Draven,Nami,Diana,Nocturne,Fizz,Kaisa,Alistar
11947,0,Garen,MonkeyKing,Sylas,Twitch,Soraka,Malphite,Vi,Yasuo,Jinx,Ashe
11948,1,Fiora,Rengar,Taliyah,Kaisa,Senna,Illaoi,Volibear,Ekko,Lux,Ashe
11949,0,Gnar,Viego,Vladimir,Caitlyn,Bard,Qiyana,Ekko,Kassadin,Jinx,Senna
11950,1,Olaf,Graves,Ahri,Sivir,Ashe,Viego,Warwick,Viktor,Kaisa,Morgana
11951,0,DrMundo,Trundle,Kassadin,Draven,Swain,Gangplank,XinZhao,Anivia,Vayne,Soraka
11952,0,Irelia,Talon,KogMaw,Ezreal,Karma,Jax,Graves,Cassiopeia,Tristana,Blitzcrank
11953,1,TahmKench,XinZhao,Yasuo,Lucian,Senna,Olaf,Graves,Annie,Samira,Leona
11954,0,Garen,MasterYi,Cassiopeia,Vayne,Brand,Jax,Kindred,Katarina,Samira,Bard
11955,0,Yasuo,Kindred,Zed,Ezreal,Brand,Urgot,Khazix,Kassadin,Kalista,Pyke
11956,0,Ornn,Nidalee,Yasuo,Ezreal,Senna,Swain,Rengar,Akshan,Varus,Renata
11957,0,Graves,LeeSin,Seraphine,Ezreal,Morgana,Chogath,Volibear,Tristana,Draven,Blitzcrank
11958,1,TahmKench,MasterYi,AurelionSol,Vayne,Lulu,Leona,Rengar,Taliyah,Draven,Ornn
11959,0,Kayle,Volibear,Xerath,Ezreal,Thresh,Pantheon,Khazix,Vladimir,MissFortune,Leona
11960,0,Gangplank,Rammus,Cassiopeia,Vayne,Ashe,XinZhao,Lillia,Talon,Senna,Sona
11961,1,Volibear,Kindred,Vex,Jhin,Mordekaiser,Garen,Sion,Brand,Vayne,Renata
11962,1,TahmKench,Kayn,Malzahar,Ashe,Shaco,MonkeyKing,Warwick,Veigar,Draven,Leona
11963,1,Teemo,MonkeyKing,Azir,Varus,MissFortune,Chogath,Rammus,Akshan,Draven,Janna
11964,0,Sett,Shaco,Vex,Ezreal,Nami,Singed,Ekko,Lux,Jhin,Senna
11965,0,Kayle,Kayn,Yasuo,Kalista,Senna,Pantheon,Ekko,Ahri,Ashe,Swain
11966,1,Malphite,Mordekaiser,Veigar,Lucian,Renata,Darius,LeeSin,Swain,Ezreal,Nidalee
11967,1,Olaf,MasterYi,Kassadin,Twitch,Nautilus,Aatrox,Viego,Veigar,Aphelios,Blitzcrank
11968,1,Darius,Sejuani,Swain,Kaisa,Pyke,Teemo,Rammus,Viktor,Jhin,Yuumi
11969,1,Volibear,Velkoz,Yone,Vayne,Nocturne,Jax,Ekko,Veigar,Samira,Yuumi
11970,1,Poppy,MasterYi,Karma,Jhin,Ashe,Aatrox,Kayn,Yasuo,Ezreal,Yuumi
11971,0,Graves,JarvanIV,Ahri,Lucian,Morgana,Garen,Kayn,Veigar,Swain,Bard
11972,1,Camille,Talon,Veigar,Kaisa,Seraphine,Fiora,MonkeyKing,Viktor,Yasuo,Yuumi
11973,0,Anivia,MasterYi,Illaoi,Zeri,Yuumi,MonkeyKing,Kindred,Malzahar,Ashe,Xerath
11974,0,MonkeyKing,Volibear,Taliyah,Kalista,Rakan,Chogath,MasterYi,Akshan,Xayah,MissFortune
11975,0,Jax,Graves,Yasuo,Draven,Morgana,Darius,Viego,Diana,Kaisa,Leona
11976,0,Rengar,Kayn,Kassadin,Vayne,Rakan,MonkeyKing,Trundle,Katarina,Kaisa,Nami
11977,1,Garen,Taliyah,Veigar,Kaisa,Pyke,Sett,MonkeyKing,Azir,Ezreal,Alistar
11978,0,Zac,Olaf,Katarina,Ashe,Brand,Sion,Amumu,Diana,Tristana,Lux
11979,1,Irelia,Lillia,Katarina,Aphelios,Karma,Kayle,Shyvana,Swain,Ashe,Nautilus
11980,1,Garen,Skarner,Karma,Ashe,Lux,Kayle,Kindred,Fizz,Twitch,Senna
11981,0,Riven,Talon,Akali,Aphelios,Lux,Teemo,Lillia,Ahri,Jhin,Pyke
11982,0,Aatrox,Viego,Lillia,Samira,Nautilus,Darius,Shyvana,Yone,KogMaw,Swain
11983,0,Volibear,LeeSin,Yone,Jhin,Shaco,Darius,Graves,Jax,Kaisa,Lux
11984,0,Sett,Hecarim,Annie,Jhin,Brand,Chogath,Diana,Ahri,Ziggs,Yuumi
11985,0,Nasus,Volibear,Kassadin,Kaisa,Senna,Vayne,Udyr,Malzahar,Ashe,Thresh
11986,1,Ornn,Kayn,Nunu,Ashe,Zyra,Trundle,MonkeyKing,Vladimir,Samira,Senna
11987,0,Malphite,Diana,Fizz,MissFortune,Pyke,Sylas,Shaco,Pantheon,Samira,Leona
11988,0,Fiora,Khazix,Neeko,Lucian,Lulu,Volibear,Rumble,Fizz,Jinx,Nami
11989,0,Kled,Volibear,Leblanc,Neeko,Lulu,Aatrox,Ekko,Corki,Lucian,Nami
11990,0,Mordekaiser,Volibear,Ekko,Samira,Thresh,Darius,MonkeyKing,Galio,Sivir,Lux
11991,1,Kayle,Elise,Qiyana,Caitlyn,Morgana,Zac,Shyvana,Ekko,Vayne,Nautilus
11992,0,Vladimir,Ekko,Zilean,Kaisa,Sett,Akali,Karthus,Renekton,Lucian,Renata
11993,0,Graves,Darius,Viktor,Draven,Lulu,Cassiopeia,Warwick,Tristana,Kaisa,Blitzcrank
11994,0,Kayle,MonkeyKing,Leblanc,KogMaw,Senna,Darius,Talon,Nasus,Jinx,Ziggs
11995,1,DrMundo,Diana,Annie,Vayne,Gragas,Urgot,Trundle,Veigar,Kaisa,Velkoz
11996,1,MonkeyKing,Kayn,Brand,Tristana,Thresh,Jayce,JarvanIV,Riven,Lucian,Annie
11997,1,Ornn,Shaco,Yasuo,Ezreal,Thresh,Olaf,Kayn,Veigar,Kalista,Maokai
11998,0,Mordekaiser,Talon,Akali,Vayne,Senna,Aatrox,Nunu,Qiyana,Kaisa,Neeko
11999,1,Shen,Shaco,Yorick,KogMaw,Xerath,Mordekaiser,Taliyah,Cassiopeia,Jhin,Twitch
12000,0,Mordekaiser,Volibear,Akali,Tristana,Pyke,Vayne,Sejuani,Ahri,Morgana,Caitlyn
12001,0,Cassiopeia,Kayn,Diana,MissFortune,Leona,Riven,RekSai,Kayle,Ezreal,Janna
12002,1,Kayle,Shyvana,Warwick,Tristana,Sona,Corki,Amumu,Yasuo,Jhin,Braum
12003,0,Gwen,Shyvana,Annie,Aphelios,Alistar,Graves,Karthus,Irelia,Senna,TahmKench
12004,0,Olaf,Udyr,Orianna,Jhin,Lux,Garen,Lillia,Akali,MissFortune,Soraka
12005,0,Volibear,Olaf,TwistedFate,Kaisa,Bard,Lillia,Hecarim,Katarina,Lucian,Alistar
12006,0,Kayle,Diana,Irelia,Zeri,Morgana,Fiora,Shaco,Malzahar,Tristana,Yuumi
12007,1,Illaoi,Zac,Yasuo,Jinx,Xerath,Urgot,MasterYi,Fizz,Jhin,Yuumi
12008,1,Sion,Shaco,Annie,Tristana,Lulu,Riven,Nocturne,Yone,MissFortune,Zyra
12009,0,Renekton,Udyr,Taliyah,Ezreal,Sett,Sion,Kayn,Qiyana,Twitch,Senna
12010,1,MonkeyKing,Vi,Qiyana,Jhin,Morgana,Kled,RekSai,Akshan,Lucian,Soraka
12011,1,Ornn,Elise,Twitch,Jinx,Blitzcrank,Shen,Kindred,TwistedFate,Ezreal,Zoe
12012,0,Gwen,Olaf,Lux,Kaisa,Yuumi,Darius,Shyvana,TwistedFate,Jhin,Sona
12013,1,Tryndamere,Kindred,Tristana,Seraphine,Sona,Jax,Poppy,Taliyah,Caitlyn,Senna
12014,0,Zac,Taliyah,Lux,Lucian,Nami,Gangplank,Kayn,Ahri,Tristana,Thresh
12015,1,Mordekaiser,LeeSin,Lux,Lucian,Pyke,Riven,FiddleSticks,Kayle,Samira,Leona
12016,1,Yorick,Viego,Tristana,Ashe,Zyra,Rumble,LeeSin,Syndra,Jhin,Amumu
12017,1,Mordekaiser,MasterYi,Ziggs,Ezreal,Lux,Fiora,Nunu,Yasuo,Samira,Zyra
12018,1,Fiora,Zyra,Kassadin,Jhin,Heimerdinger,Darius,Shyvana,Vex,Zeri,Ashe
12019,1,Teemo,Khazix,Viktor,Lucian,Xerath,Sejuani,Trundle,Katarina,Samira,Maokai
12020,1,TahmKench,Diana,Ekko,Caitlyn,Xerath,Aatrox,MonkeyKing,Yasuo,Ziggs,Teemo
12021,0,Fiora,Rengar,Taliyah,Jhin,Senna,Jax,Warwick,Lux,Kaisa,Pantheon
12022,0,Jax,Sejuani,Malzahar,Jinx,Morgana,Lillia,Ryze,Zed,Kaisa,Pyke
12023,0,MonkeyKing,Amumu,Velkoz,Kaisa,Pyke,Aatrox,Viego,Irelia,KogMaw,Lulu
12024,1,Gnar,Amumu,Pantheon,Samira,Brand,Gangplank,Nocturne,Ahri,Jhin,Morgana
12025,1,Fiora,Rengar,Sylas,MissFortune,Sona,Darius,Shaco,Lux,Ezreal,Karma
12026,0,Gangplank,Ekko,Irelia,Jhin,Shaco,Swain,Warwick,Syndra,Zeri,Zyra
12027,1,Irelia,Ekko,Quinn,Jinx,Lulu,Urgot,Karthus,Kayle,Tristana,Thresh
12028,1,Nasus,Kayn,Akali,Vayne,Lux,Gnar,XinZhao,Katarina,Jhin,Thresh
12029,0,Vladimir,Graves,Malphite,Xayah,Leona,Vayne,Karthus,Swain,Lucian,Zilean
12030,0,Camille,Lillia,Xerath,Kaisa,Sona,Illaoi,Warwick,Taliyah,Caitlyn,Nami
12031,1,Akali,Volibear,Xerath,Xayah,Rakan,Yone,MonkeyKing,Viktor,Lucian,Thresh
12032,0,Urgot,Viego,Yone,MissFortune,Lux,Lillia,Volibear,Ahri,Jhin,Morgana
12033,1,Kennen,Volibear,Qiyana,Jhin,Renata,Nasus,Viego,Zed,Samira,Thresh
12034,1,Gangplank,Lillia,Brand,Jhin,Nautilus,Chogath,Warwick,Kayle,Tristana,Rell
12035,0,Akshan,MasterYi,Katarina,Ezreal,Thresh,Sion,Gragas,Draven,Jinx,Sona
12036,1,Riven,Karthus,Yone,Vayne,Seraphine,Volibear,Zac,Draven,Kaisa,Zyra
12037,0,Darius,MasterYi,Yasuo,Samira,Lux,Sett,Nocturne,Akali,Ashe,Swain
12038,0,Camille,MasterYi,Xerath,Kaisa,Karma,Sett,Warwick,Kennen,Xayah,Seraphine
12039,1,Lillia,Caitlyn,Anivia,Tristana,Braum,Urgot,Diana,Yone,Kaisa,Thresh
12040,1,Garen,Warwick,Veigar,Jinx,Blitzcrank,Teemo,Taliyah,Graves,Samira,Brand
12041,1,Quinn,Nocturne,Karma,Jhin,Janna,MonkeyKing,Ekko,Kassadin,KogMaw,Soraka
12042,1,Poppy,Zac,Katarina,MissFortune,Pyke,Volibear,Qiyana,Sylas,Draven,Nautilus
12043,1,Yone,Kindred,Graves,Tristana,Lux,Kayle,Jax,Zoe,Aphelios,Nami
12044,0,Kennen,Volibear,Talon,Aphelios,Vex,Aatrox,LeeSin,Ekko,Jinx,Yuumi
12045,0,Shen,Khazix,Ahri,Ezreal,Swain,Ryze,Viego,Leblanc,Sivir,Seraphine
12046,1,Aatrox,Jayce,Heimerdinger,Samira,Xerath,Fiora,FiddleSticks,Viktor,MissFortune,Zed
12047,0,Tryndamere,Volibear,Lux,Tristana,Xerath,MonkeyKing,Nidalee,XinZhao,Vayne,Singed
12048,0,Fiora,MasterYi,Gangplank,MissFortune,Leblanc,Camille,Shaco,Viktor,Tristana,Pyke
12049,0,DrMundo,Lillia,Qiyana,Tristana,Pyke,Gwen,Graves,Akali,Samira,Swain
12050,0,Vayne,Lucian,Malphite,Jhin,Gragas,Volibear,Kayn,Lissandra,Tristana,Lux
12051,1,Garen,LeeSin,Irelia,Ashe,Xerath,Gangplank,Viego,Katarina,Lucian,Senna
12052,0,Nasus,LeeSin,Qiyana,Ezreal,Twitch,MonkeyKing,Tryndamere,Zed,Jhin,Lux
12053,0,Karma,Taliyah,Irelia,Kaisa,Xerath,Jax,Ekko,Yasuo,Caitlyn,Lux
12054,0,Tryndamere,Graves,Katarina,Jhin,Yuumi,Kayle,Diana,Neeko,Draven,Nami
12055,1,Ornn,Warwick,Zed,Jhin,Senna,Jax,XinZhao,Annie,Vayne,Brand
12056,1,Garen,Graves,Zed,Jinx,Morgana,Vayne,MonkeyKing,Lissandra,Twitch,Senna
12057,0,Kled,LeeSin,Leblanc,Draven,Lux,Teemo,Warwick,Zilean,Vayne,Braum
12058,1,Nasus,Graves,Katarina,Jhin,Alistar,Aatrox,Evelynn,Ahri,Draven,Zac
12059,0,Nasus,Lillia,Akali,Ezreal,Karma,Gwen,Vi,Lissandra,Lucian,Pyke
12060,0,Leblanc,Olaf,Yasuo,Jhin,Lux,Camille,MasterYi,Akali,Tristana,Pantheon
12061,0,Gangplank,Hecarim,Brand,Vayne,Xerath,Garen,Kayn,Ahri,Tristana,Nautilus
12062,0,Aatrox,Kindred,Swain,Jhin,Karma,Nasus,Graves,Malzahar,Tristana,Thresh
12063,1,Trundle,Graves,Lux,MissFortune,Nami,Teemo,Malphite,Lulu,Sivir,Zilean
12064,0,Aatrox,Viego,Morgana,Ashe,Taliyah,Malphite,Kayn,Veigar,Vayne,Janna
12065,1,Jax,Shaco,Yasuo,Tristana,Xerath,Rengar,Thresh,Volibear,Lucian,Amumu
12066,1,Jax,Volibear,Leblanc,Ezreal,Shen,Olaf,MasterYi,Yasuo,MissFortune,Xerath
12067,1,Jayce,Volibear,Lux,Ezreal,Lulu,Kled,Khazix,Vex,Jinx,Senna
12068,0,Jax,Garen,Fizz,Samira,Soraka,Gnar,LeeSin,Kayle,Senna,Nidalee
12069,0,Viego,Jax,Sylas,Yasuo,Thresh,Aatrox,MasterYi,Fizz,Samira,Swain
12070,1,Nasus,Warwick,Karma,Vayne,Brand,Illaoi,Riven,Katarina,Caitlyn,Thresh
12071,0,Camille,Ekko,Jax,Twitch,Soraka,Kayle,MasterYi,Yone,Lucian,Nami
12072,1,Aatrox,Zac,Fizz,Caitlyn,Ashe,Camille,Graves,Katarina,KogMaw,Thresh
12073,1,TahmKench,Kayn,Vi,Twitch,Nautilus,Gwen,Rammus,Vladimir,Xayah,Janna
12074,0,Chogath,MasterYi,Irelia,Ziggs,Karma,Ornn,Jax,Velkoz,Jhin,Leona
12075,0,Darius,Ekko,Ahri,Tristana,Alistar,Aatrox,XinZhao,Syndra,MissFortune,Renata
12076,1,Olaf,Shaco,Viktor,Xayah,Karthus,MonkeyKing,MasterYi,Sett,Veigar,Velkoz
12077,1,Nasus,XinZhao,Ziggs,Tristana,Yuumi,Darius,Poppy,Katarina,Draven,Thresh
12078,0,Lulu,Sejuani,Akshan,Vayne,Brand,Jax,Rengar,Anivia,Draven,Morgana
12079,0,Shen,Nidalee,Ekko,MissFortune,Senna,Mordekaiser,Warwick,Zilean,Twitch,Brand
12080,0,Karma,Khazix,Viktor,Samira,Nautilus,Sion,Diana,Tristana,Thresh,Draven
12081,0,Nami,Kayn,Lucian,Akali,Azir,Thresh,Graves,Ekko,Kaisa,Fiora
12082,0,Aatrox,Taliyah,Viktor,Ashe,Thresh,MonkeyKing,Talon,Swain,Jinx,Zac
12083,1,Graves,Volibear,Annie,Samira,Nautilus,Zac,MasterYi,Zed,Vayne,Bard
12084,1,Shen,Viego,Cassiopeia,Jhin,Leona,Garen,JarvanIV,Zoe,Senna,TahmKench
12085,1,Ornn,Twitch,Galio,KogMaw,Brand,Teemo,Volibear,Jayce,Samira,Blitzcrank
12086,1,DrMundo,Hecarim,Malzahar,Vayne,Alistar,TahmKench,Kayn,Fizz,Tristana,Sona
12087,1,Mordekaiser,Diana,Annie,Vayne,Braum,Jax,Nocturne,Taliyah,MissFortune,FiddleSticks
12088,1,TahmKench,Nocturne,Akshan,Caitlyn,Lux,Sett,Viego,Corki,Tristana,Pyke
12089,0,Illaoi,Rammus,Lissandra,Vayne,Nami,Vladimir,Kassadin,RekSai,KogMaw,Janna
12090,1,Vayne,JarvanIV,Chogath,Kaisa,Sona,Shyvana,LeeSin,Zoe,Ezreal,Zilean
12091,1,Kayle,Graves,Teemo,Samira,Nautilus,Garen,Evelynn,Irelia,Kaisa,Senna
12092,1,Darius,Kindred,Lux,Ezreal,Ashe,Akshan,Karthus,Mordekaiser,Aphelios,Renata
12093,1,Kayle,Ekko,Zoe,Ezreal,Morgana,Vi,Teemo,Malzahar,Jinx,Lulu
12094,0,Garen,Nocturne,Veigar,Vayne,Swain,Chogath,Warwick,Pantheon,Jhin,Seraphine
12095,1,Garen,Viego,Taliyah,Jhin,Nautilus,Kayle,Nasus,Vladimir,Lucian,Taric
12096,1,Gangplank,Elise,Fizz,Kaisa,Soraka,Tryndamere,Shaco,Veigar,Jinx,Senna
12097,1,Singed,Nocturne,Lux,Kaisa,Soraka,Graves,Viego,Zoe,Aphelios,Thresh
12098,0,Sion,Warwick,Malzahar,Lucian,Nami,Camille,Shyvana,Zed,Caitlyn,Senna
12099,0,Mordekaiser,Kindred,Fizz,Vayne,Pyke,Olaf,Ekko,Yasuo,Twitch,Yuumi
12100,0,Shen,Diana,KogMaw,LeeSin,Lulu,Garen,MonkeyKing,Annie,Jhin,Thresh
12101,0,MonkeyKing,Ekko,Akali,Xayah,MissFortune,Sett,Shyvana,Taliyah,Jhin,Soraka
12102,1,Yasuo,Nunu,Leblanc,Kaisa,Brand,Quinn,MonkeyKing,Yone,Jhin,Yuumi
12103,0,Gragas,Darius,Annie,Tristana,Rumble,Morgana,Talon,Malzahar,Lucian,Anivia
12104,1,Sett,Lillia,Anivia,Vayne,Leona,Aatrox,Viego,Taliyah,Tristana,Thresh
12105,0,Shyvana,Poppy,Ahri,Jinx,Nami,MonkeyKing,Taliyah,TwistedFate,Ezreal,Leona
12106,0,Mordekaiser,Viego,Brand,Lucian,Nautilus,Aatrox,Lillia,Xayah,Ezreal,Zyra
12107,0,Riven,Vi,FiddleSticks,KogMaw,Lulu,Katarina,Zac,MonkeyKing,Ezreal,Yuumi
12108,1,Yasuo,Warwick,Annie,Caitlyn,Trundle,Graves,Shyvana,Zoe,MissFortune,Leona
12109,1,Sett,Lillia,Neeko,Caitlyn,Sona,Gangplank,Vi,Akali,Draven,Pyke
12110,1,Kayle,Hecarim,Malzahar,Tristana,Senna,Gangplank,Warwick,Zoe,Sivir,Nami
12111,1,Gangplank,Volibear,Velkoz,Vayne,Lulu,Illaoi,Warwick,Azir,Tristana,Zyra
12112,1,Fiora,Volibear,Neeko,Twitch,Brand,Jax,Viego,Viktor,Vayne,Renata
12113,1,Garen,Hecarim,Ekko,Fizz,Annie,Tryndamere,Rammus,Malzahar,Zeri,Maokai
12114,1,Mordekaiser,Kayn,Tristana,Kaisa,Bard,Olaf,Rammus,Ryze,Kalista,Pantheon
12115,1,MonkeyKing,Viego,Malzahar,Kaisa,Karma,Darius,Graves,Taliyah,Tristana,Lux
12116,1,Kayle,Nunu,Zoe,Swain,Lux,Gnar,Fizz,Zed,Vayne,Senna
